prune_mutation_chance	hoist_mutation_chance	grow_leaf_mutation_chance	grow_root_mutation_chance	simplify_chance	n	mutation_children	crossover_children	error
0.21049651815521955	0.026410464612979453	0.2889767393552059	0.1372743150178067	0.026250720729657284	20	3	3	0.015318984254394024
0.37337434792689683	0.11879668388908352	0.13370089578089564	0.10448069547575689	0.7643174464584122	20	1	5	0.0153712049865371
0.1088043782974144	0.2660081760833434	0.23644588570746997	0.05232377804758387	0.34481640779149736	130	3	5	0.015395113681684102
0.2623744535268256	0.2798881211490426	0.07355775186915436	0.3039641245232676	0.6903104653125767	80	3	3	0.015414972432379109
0.29283014141647357	0.2454790217057617	0.14507875998174902	0.23393036570918954	0.5599329803978068	30	3	5	0.015429161697376792
0.22150470087077895	0.162885636344994	0.23994743207047164	0.2065539929864889	0.6696272256928986	80	5	5	0.015444004988926572
0.1438108920135628	0.23985488610366268	0.1775102040739413	0.16449340243165814	0.22501231708575908	130	2	1	0.015468553568249879
0.07368578903079735	0.3419769972105238	0.0027393629759967933	0.07875191915302875	0.3327374170270271	80	1	1	0.015499401721515869
0.07447140267246725	0.02307633412049352	0.36780248328643755	0.3015151429011753	0.7123172426655917	50	3	1	0.015499401721515869
0.27864787819228937	0.09120449033104647	0.22932331067385747	0.10273992151763092	0.6659944838061143	20	3	2	0.015503754408493468
0.07319167607485738	0.3322536290735116	0.13529864286189106	0.29938324498267155	0.0052756360585738404	80	3	5	0.01550426830668673
0.28761628341014644	0.10488542778254194	0.19167435886542933	0.19502144614827438	0.9112828374577472	80	5	5	0.01552798512551551
0.1908250254211168	0.16381590973858481	0.2101186578527128	0.14845525052669506	0.4436341786544017	80	1	1	0.015555766906731067
0.29527827946524454	0.1134604343991643	0.06050542113382346	0.30748768093893336	0.6482320612352782	80	3	5	0.015561524240037957
0.24108017812166338	0.23704866029315708	0.09083485415940677	0.30418349429333125	0.3639008192097173	50	3	5	0.015565394354131507
0.06002206054204374	0.1507531057897443	0.3920659154906899	0.11798350229094373	0.3000039179973205	80	2	1	0.015566103663923135
0.010406745972805904	0.03658360681281816	0.2454392828976771	0.3682093817660476	0.701246947003965	30	5	5	0.015572308151702378
0.23504519561331016	0.12574523911439958	0.301124461065153	0.11455178339271459	0.9703361491117534	20	3	2	0.015633082902332392
0.2251363871696019	0.009441736639423616	0.39021210693442543	0.1155902814973702	0.1825361853684596	50	2	2	0.01564122750201747
0.20060669430609107	0.27825395525654284	0.23922147512424885	0.05735365332976398	0.6952937794916267	50	2	2	0.015684985531484293
0.16796483316670435	0.14334385919271372	0.22091747166303644	0.2621806441902569	0.5922526308092887	80	1	2	0.015699019585687816
0.19224106537579294	0.21446959794762344	0.25005411574121333	0.2325061246028062	0.6036791565262452	80	3	2	0.015699088903038085
0.053692845954321264	0.3119432840161485	0.2992246321793447	0.031017499406751848	0.46484761592229407	50	1	1	0.015703201579899344
0.10022230571422838	0.2849262208635879	0.2809414458407835	0.1654717491594388	0.9535847381364676	20	5	5	0.01570334197506498
0.17990616940312268	0.30386971661408485	0.10616859194399812	0.19142020804930002	0.5320379462359662	20	1	1	0.015713801371596024
0.24607067141088879	0.09391534149023802	0.15578424039988578	0.32836589522782805	0.7743940928871414	20	3	5	0.015713801371596024
0.26283376402589886	0.24486409924962838	0.1919670027384389	0.09301343470470082	0.9401628388225662	50	2	3	0.01571414090024023
0.21706973724067666	0.28076297632525843	0.2128489033291245	0.20757734113315252	0.9283909181115073	20	5	2	0.015717648270052734
0.008029025840974997	0.28789679835134924	0.15260092292764604	0.3404905199445726	0.0019494928888921237	130	3	1	0.015723934456692915
0.22160739876027233	0.19178701118953262	0.21143444051286797	0.1899778726226947	0.6841416068669495	50	3	5	0.015739735648106216
0.22881107498043404	0.04705013262986559	0.28119362547509397	0.35119704183774764	0.6220958939479088	30	5	2	0.015759782620084237
0.14556669781949863	0.018736365877507665	0.31467110372100726	0.17547932068783983	0.6156780130241647	30	1	1	0.015760197547278542
0.16152919514567626	0.3565424152602708	0.013348906219700874	0.07952781953471243	0.09485044001601184	20	2	2	0.015777057766998445
0.12020113461629908	0.25283353338926556	0.31404878487659177	0.10915745189381726	0.4347310422337862	30	1	1	0.015778210380669982
0.0466413430106461	0.000313111027245244	0.14504264953693424	0.6583939271212883	0.7280887197492026	80	1	2	0.015779753149733476
0.19262951319517388	0.22383674519365357	0.16728283202837999	0.2378376840016583	0.857905168132761	80	3	5	0.01582097583774719
0.018832249019390814	0.2706278928707078	0.10846561639786916	0.41296337569857067	0.6980815503923955	50	1	1	0.015828142169639958
0.2392382856693506	0.06956868107360047	0.3654220844563502	0.042277042362212844	0.3541497343541653	80	5	2	0.015847325025001024
